round,loss
1,0.0033941635629162192
2,0.003210372175090015
3,0.0032030862639658153
4,0.0031162858358584344
5,0.0031425305060110986
6,0.0031293834908865392
7,0.0031631324090994895
8,0.0031442760373465717
9,0.0031210072338581085
10,0.0030998512520454824
11,0.003119331959169358
12,0.0031149130081757903
13,0.003097854380030185
14,0.003145097871311009
15,0.003109030018094927
16,0.003099491004832089
17,0.003106111427769065
18,0.0030987755744718015
19,0.0030880181584507227
20,0.0030725779361091554
