percentile	threshold	precision	recall	f1	fpr	auc
95.000000	0.002666	0.427984	0.981132	0.595989	0.073351	0.984703
96.000000	0.002698	0.451193	0.981132	0.618128	0.066755	0.984703
97.000000	0.002757	0.480370	0.981132	0.644961	0.059367	0.984703
98.000000	0.002863	0.501211	0.976415	0.662400	0.054354	0.984703
99.000000	0.003033	0.537037	0.957547	0.688136	0.046174	0.984703
99.100000	0.003057	0.547170	0.957547	0.696398	0.044327	0.984703
99.200000	0.003080	0.554645	0.957547	0.702422	0.043008	0.984703
99.300000	0.003102	0.563889	0.957547	0.709790	0.041425	0.984703
99.400000	0.003140	0.583333	0.957547	0.725000	0.038259	0.984703
99.500000	0.003155	0.590116	0.957547	0.730216	0.037203	0.984703
99.600000	0.003179	0.597059	0.957547	0.735507	0.036148	0.984703
99.700000	0.003247	0.623457	0.952830	0.753731	0.032190	0.984703
99.800000	0.003305	0.648387	0.948113	0.770115	0.028760	0.984703
99.900000	0.003344	0.675676	0.943396	0.787402	0.025330	0.984703
