percentile	threshold	precision	recall	f1	fpr	auc
95.000000	0.003857	0.307826	0.834906	0.449809	0.105013	0.902879
96.000000	0.003887	0.330206	0.830189	0.472483	0.094195	0.902879
97.000000	0.003940	0.364017	0.820755	0.504348	0.080211	0.902879
98.000000	0.004047	0.399527	0.797170	0.532283	0.067018	0.902879
99.000000	0.004441	0.432665	0.712264	0.538324	0.052243	0.902879
99.100000	0.004597	0.440120	0.693396	0.538462	0.049340	0.902879
99.200000	0.004698	0.440000	0.674528	0.532588	0.048021	0.902879
99.300000	0.004997	0.440678	0.613208	0.512821	0.043536	0.902879
99.400000	0.005222	0.428058	0.561321	0.485714	0.041953	0.902879
99.500000	0.005456	0.413793	0.509434	0.456660	0.040369	0.902879
99.600000	0.005524	0.414062	0.500000	0.452991	0.039578	0.902879
99.700000	0.005685	0.412955	0.481132	0.444444	0.038259	0.902879
99.800000	0.005827	0.410256	0.452830	0.430493	0.036412	0.902879
99.900000	0.006009	0.429864	0.448113	0.438799	0.033245	0.902879
