percentile	threshold	precision	recall	f1	fpr	auc
95.000000	0.005411	0.345703	0.834906	0.488950	0.088391	0.922680
96.000000	0.005454	0.376596	0.834906	0.519062	0.077309	0.922680
97.000000	0.005518	0.432500	0.816038	0.565359	0.059894	0.922680
98.000000	0.005630	0.537975	0.801887	0.643939	0.038522	0.922680
99.000000	0.005839	0.710526	0.764151	0.736364	0.017414	0.922680
99.100000	0.005863	0.717489	0.754717	0.735632	0.016623	0.922680
99.200000	0.005888	0.730594	0.754717	0.742459	0.015567	0.922680
99.300000	0.005911	0.732719	0.750000	0.741259	0.015303	0.922680
99.400000	0.005947	0.739535	0.750000	0.744731	0.014776	0.922680
99.500000	0.005983	0.740566	0.740566	0.740566	0.014512	0.922680
99.600000	0.006018	0.742857	0.735849	0.739336	0.014248	0.922680
99.700000	0.006041	0.745192	0.731132	0.738095	0.013984	0.922680
99.800000	0.006106	0.752427	0.731132	0.741627	0.013456	0.922680
99.900000	0.006194	0.758794	0.712264	0.734793	0.012665	0.922680
