event,precision,recall,f1,auc,fpr,threshold,zones_in_fusion
line_trip,0.6209677419354839,1.0,0.7661691542288557,1.0,0.042727272727272725,0.005887286022305488,"zone1,zone2,zone3,zone4"
der_dropout,0.55,1.0,0.7096774193548387,0.973192968647514,0.057272727272727274,0.005887286022305488,"zone1,zone2,zone3,zone4"
