event,precision,recall,f1,auc,fpr,threshold
line_trip,0.7241379310344828,1.0,0.84,1.0,0.02666666666666667,0.005887286022305488
der_dropout,0.6189189189189189,0.9913419913419913,0.762063227953411,0.9715938606847698,0.042727272727272725,0.005887286022305488
